,song,artist
3,Montero (Call Me By Your Name),Lil Nas X
4,Levitating,Dua Lipa Featuring DaBaby
5,Save Your Tears,The Weeknd
6,Astronaut In The Ocean,Masked Wolf
7,Kiss Me More,Doja Cat Featuring SZA
8,Up,Cardi B
9,Drivers License,Olivia Rodrigo
10,Deja Vu,Olivia Rodrigo
11,Solid,Young Thug & Gunna Featuring Drake
12,Blinding Lights,The Weeknd
13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby
14,Best Friend,Saweetie Featuring Doja Cat
15,Calling My Phone,Lil Tjay Featuring 6LACK
16,What You Know Bout Love,Pop Smoke
17,Ski,Young Thug & Gunna
18,Mood,24kGoldn Featuring iann dior
19,Heartbreak Anniversary,Giveon
20,The Good Ones,Gabby Barrett
21,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
22,Back In Blood,Pooh Shiesty Featuring Lil Durk
23,Go Crazy,Chris Brown & Young Thug
24,You Broke Me First.,Tate McRae
25,34+35,Ariana Grande
26,My Ex's Best Friend,Machine Gun Kelly X blackbear
27,What's Next,Drake
28,Dakiti,Bad Bunny & Jhay Cortez
29,Therefore I Am,Billie Eilish
30,Without You,The Kid LAROI
31,On Me,Lil Baby
32,Positions,Ariana Grande
33,You're Mines Still,Yung Bleu Featuring Drake
34,Forever After All,Luke Combs
35,Wants And Needs,Drake Featuring Lil Baby
36,Track Star,Mooski
37,We're Good,Dua Lipa
38,Heat Waves,Glass Animals
39,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
40,Hell Of A View,Eric Church
41,Made For You,Jake Owen
42,No More Parties,Coi Leray Featuring Lil Durk
43,Good Days,SZA
44,Starting Over,Chris Stapleton
45,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott
46,Goosebumps,Travis Scott & HVME
47,Tombstone,Rod Wave
48,Breaking Up Was Easy In The 90's,Sam Hunt
49,Somebody Like That,Tenille Arts
50,Streets,Doja Cat
51,What's Your Country Song,Thomas Rhett
52,Time Today,Moneybagg Yo
53,Telepatia,Kali Uchis
54,Cry Baby,Megan Thee Stallion Featuring DaBaby
55,Hold On,Justin Bieber
56,Street Runner,Rod Wave
